,datetime,notification_type,notification_title,email_body,outage
88,2018-01-04 12:00:00,Utility,Power Outage - Flushing (QN),"Notification issued 1/4/18 at 12:40 PM. Con Edison is responding to a power outage in the Flushing section of Queens, including parts of ZIP codes 11356 and 11357. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
89,2018-01-04 09:00:00,Utility,Power Outage - Gerritsen Beach (BK),"Notification issued 1/4/18 at 9:45 AM. Con Edison is responding to a power outage in the Gerritsen Beach section of Brooklyn, including parts of ZIP codes 11229 and 11235. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
90,2017-12-30 09:00:00,Utility,Power Outage - Middle Village (QN),"Notification issued 12/30/17 at 9:08 AM. Con Edison is responding to a power outage in the Middle Village section of Queens, including parts of ZIP code 11373. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
91,2017-12-28 15:00:00,Utility,Power Outage - Wakefield Section (BX),"Notification issued 12/28/17 at 3:02 PM. Con Edison is responding to a power outage in the Wakefield section of The Bronx, including ZIP codes 10470 and 10466. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
92,2017-12-13 12:00:00,Utility,Power Outage - Sea Gate (BK),"Notification issued 12/13/17 at 12:47 PM. Con Edison is responding to a power outage in the Sea Gate section of Brooklyn, including parts of ZIP code 11224. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
93,2017-12-12 18:00:00,Utility,Power Outage - Cropsey Loop (BK),"Notification issued 12/17/17 at 6:35 PM. Con Edison is responding to a power outage in the Cropsey Loop section of Brooklyn, including ZIP codes 11214 and 11223. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
94,2017-12-09 20:00:00,Utility,Power Outage - City Island Section (BX),"Notification issued 12/9/17 at 8:22 PM. Con Edison is responding to a power outage in the City Island section of The Bronx, including ZIP code 10464. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
95,2017-12-06 04:00:00,Utility,Power Outage - Laurel Hill (QN),"Notification issued 12/6/17 at 4:18 AM. Con Edison is responding to a power outage in the Laurel Hill section of Queens, including ZIP codes 11377 and 11378. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
96,2017-11-30 03:00:00,Utility,Power Outage - Springfield Gardens (QN),"Notification issued 11/30/17 at 3:15 AM. Con Edison is responding to a power outage in the Springfield Gardens section of Queens, including ZIP code(s) 11413 and 11422. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
97,2017-11-28 21:00:00,Utility,Power Outage  - Todt Hill and Concord Sections (SI),"Notification issued 11/28/17 at 9:50 PM. Con Edison is responding to a power outage in the Todt Hill and Concord section of Staten Island, including ZIP codes 10301 and 10304. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
98,2017-11-22 19:00:00,Utility,Power Outage - Maspeth Section (QN),"Notification issued 11/22/17 at 7:27 PM. Con Edison is responding to a power outage in the Maspeth section of Queens, including ZIP codes 11377 and 11378. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.

To view this message in American Sign Language (ASL), ???????, ??????, ??, Français, Kreyòl Ayisyen, Italiano, ???, Polski, P??????, Español, ???? or ?????? : http://on.nyc.gov/22lyehC.",1
99,2017-11-16 21:00:00,Utility,Power Outage - Cambria Section (QN),"Notification issued 11/16/17 at 9:07 PM. Con Edison is responding to a power outage in the Cambria Heights section of Jamaica, Queens, including ZIP codes 11411, 11412, 11413, 11422. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
100,2017-11-08 19:00:00,Utility,Power Outage - Edenwald Section (BX),"Notification issued 11/8/17 at 7:42 PM. Con Edison is responding to a power outage in the Edenwald section of The Bronx including ZIP code 10466. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
101,2017-11-07 21:00:00,Utility,Power Outage - Flushing (QN),"Notification issued 11/7/17 at 9:30 PM. Con Edison is responding to a power outage in the Flushing section of Queens, including parts of ZIP code 11355. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
102,2017-11-03 10:00:00,Utility,Power Outage - Castle Hill (BX),"Notification issued 11/3/17 at 10:47 AM. Con Edison is responding to a power outage in the Castle Hill section of The Bronx, including parts of ZIP codes 10461 & 10462. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
103,2017-10-29 23:00:00,Utility,Power Outage - Cambria (QN),"Notification issued 10/29/17 at 11:45 PM. Con Edison is responding to a power outage in the Cambria Heights section of Queens, including ZIP codes 11412 and 11429. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
104,2017-10-22 19:00:00,Utility,Power Outage - New Springville and Heartland Village Sections (SI),"Notification issued 10/22/17 at 7:16 PM. Con Edison is responding to a power outage in the New Springville and Heartland Village sections of Staten Island, including ZIP codes 10312 and 10314. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
105,2017-10-13 13:00:00,Utility,Power Outage - Coney Island (BK),"Notification issued 10/13/17 at 1:28 PM. Con Edison is responding to a power outage in the Coney Island section of Brooklyn, including parts of ZIP code 11214. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
106,2017-10-12 12:00:00,Utility,Power Outage - Hollis (QN),"Notification issued 10/12/17 at 12:30 PM. Con Edison is responding to a power outage in the Hollis section of Queens, including parts of ZIP codes: 11412 and 11433. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
107,2017-10-12 05:00:00,Utility,Power Outage - Gun Hill (BX),"Notification issued 10/12/17 at 5:53 AM. Con Edison is responding to a power outage in the Gun Hill section of the Bronx, including the ZIP code 10469. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
108,2017-10-07 12:00:00,Utility,PSE&G Power Outage - Far Rockaway (QN),"Notification issued 10/7/17 at 12:50 PM. PSE&G is responding to a power outage in th Rockaway section of Queens. Report power outages to PSE&G at 1-800-490-0075, or if you have a speech or hearing disability, report outages to 1-631-755-6660.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
109,2017-09-29 12:00:00,Utility,PSEG Power Outage - Rockaway (QN),"Notification issued 9/29/17 at 12:45 PM. PSE&G is responding to a power outage in the Rockaway section of Queens. Report power outages to PSE&G at 1-800-490-0075, or if you have a speech or hearing disability, report outages to 1-631-755-6660.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
110,2017-09-24 07:00:00,Utility,Power Outage - Allerton Section (BX),"Notification issued 9/24/17 at 7:49 AM. Con Edison is responding to a power outage in the Allerton section of The Bronx, including ZIP code 10467. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
111,2017-09-09 12:00:00,Utility,Power Outage - New Dorp (SI),"Notification issued 9/9/17 at 12:07 PM. Con Edison is responding to a power outage in the New Dorp section of Staten Island, including parts of Zip Code 10306. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
112,2017-09-07 15:00:00,Utility,Power Outage - Far Rockaway (QN),"Notification issued 9/7/17 at 3:12 PM. PSE&G is responding to a power outage in the Far Rockaway section of Queens, including ZIP Codes: 11692. Report power outages to PSE&G at 1-800-490-0075, or if you have a speech or hearing disability, report outages to 1-631-755-6660.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
113,2017-09-05 19:00:00,Utility,Power Outage - Far Rockaway (QN),"Notification issued 9/5/17 at 7:56 PM. PSE&G is responding to a power outage in The Far Rockaway section of Queens, including ZIP Codes: 11691 and 11692. Report power outages to PSE&G at 1-800-490-0075, or if you have a speech or hearing disability, report outages to 1-631-755-6660.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
114,2017-09-03 14:00:00,Utility,Power Outage - Spencer Estates (BX),"Notification issued 9/3/17 at 2:18 PM. Con Edison is responding to a power outage in the Spencer Estates section of The Bronx, including ZIP code(s) 10465. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
115,2017-08-31 09:00:00,Utility,Power Outage - Maspeth (QN),"Notification issued 8/31/17 at 9:16 AM. Con Edison is responding to a power outage in the Maspeth section of Queens, including parts of ZIP codes: 11368, 11373, and 11374. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
116,2017-08-26 12:00:00,Utility,Power Outage - Seaview Section (SI),"Notification issued 8/26/17 at 12:32 PM. Con Edison is responding to a power outage in the Huguenot section of Staten Island including ZIP code(s) 10314. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
117,2017-08-23 00:00:00,Utility,Power Outage - Huguenot Section (SI),"Notification issued 8/23/17 at 12:20 AM. Con Edison is responding to a power outage in the Huguenot section of Staten Island including ZIP code(s) 10312, 10314. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
119,2017-08-18 19:00:00,Utility,Power Outage - Rossville (SI),"Notification issued 8/18/17 at 7:53 PM. Con Edison is responding to a power outage in the Rossville section of Staten Island, including parts of ZIP codes 10309 and 10312. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
120,2017-08-15 06:00:00,Utility,Power Outage - Dyker Loop (BK),"Notification issued 8/15/17 at 6:20 AM. Con Edison is responding to a power outage in the Dyker Loop section of Brooklyn, including parts of ZIP code 11228. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
121,2017-08-15 00:00:00,Utility,Power Outage - Glen Oaks (QN),"Notification issued 8/15/17 at 12:25 AM. Con Edison is responding to a power outage in the Glen Oaks section of Queens, including ZIP codes 11004 and 11005. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
122,2017-08-07 11:00:00,Utility,Power Outage - Woodlawn (BX),"Notification issued 8/7/17 at 11:30 AM. Con Edison is responding to a power outage in the Woodlawn section of The Bronx, including parts of ZIP codes 10470 and 10471. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
123,2017-07-30 00:00:00,Utility,Power Outage - Gravesend (BK),"Notification issued 7/30/17 at 12:41 AM. Con Edison is responding to a power outage in the Gravesend section of Brooklyn including ZIP code 11223. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
124,2017-07-28 15:00:00,Utility,Power Outage - Rossville Section (SI),"Notification issued 7/28/17 at 3:42 PM. Con Edison is responding to a power outage in the Rossville section of Staten Island, including ZIP codes 10312 and 10309. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
125,2017-07-18 07:00:00,Utility,Power Outage - Gun Hill (BX),"Notification issued 7/18/17 at 7:56 AM. Con Edison is responding to a power outage in the Gun Hill section of The Bronx, including parts of ZIP code 10469. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
126,2017-07-15 00:00:00,Utility,Power Outage - Todt Hill (SI),"Notification issued 7/14/17 at 12:10 AM. Con Edison is responding to a power outage in the Todt Hill section of Staten Island, including ZIP codes 10301, 10304, 10306 and 10314. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
127,2017-07-13 21:00:00,Utility,Power Outage - West 71st Street & Broadway (MN),"Notification issued 7/13/17 at 9:11 PM. Con Edison is responding to a power outage in the Upper West Side of Manhattan, including ZIP code 10023. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
128,2017-07-13 20:00:00,Utility,Power Outage - Whitestone (QN),"Notification issued 7/13/17 at 8:36 PM. Con Edison is responding to a power outage in the Whitestone section of Queens including ZIP code 11357. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
129,2017-07-08 08:00:00,Utility,Power Outage - New Springville Section (SI),"Notification issued 7/8/17 at 8:08 AM. Con Edison is responding to a power outage in the New Springville section of Staten Island, including ZIP code 10314. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
130,2017-07-07 11:00:00,Utility,Power Outage -  Ozone Park Section (QN),"Notification issued 7/7/17 at 11:45 AM. Con Edison is responding to a power outage in the Ozone Park section of Queens, including ZIP code 11417. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.


If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
131,2017-07-07 04:00:00,Utility,Power Outage - Hollis Section (QN),"Notification issued 7/7/17 at 4:14 AM. Con Edison is responding to a power outage in the Hollis section of Queens, including ZIP code(s) 11423 and 11412. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
132,2017-07-05 13:00:00,Utility,Power Outage - Flushing  (QN),"Notification issued 7/5/17 at 1:40 PM. Con Edison is responding to a power outage in the Flushing section of Queens, including ZIP code 11354.Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.


If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.

To view this message in American Sign Language (ASL), ???????, ??????, ??, Français, Kreyòl Ayisyen, Italiano, ???, Polski, P??????, Español, ???? or ?????? : http://on.nyc.gov/22lyehC.",1
133,2017-06-28 21:00:00,Utility,Power Outage - Ozone Park (QN),"Notification issued 6/28/17 at 9:00 PM. Con Edison is responding to a power outage in the Ozone Park section of Queens, including parts of ZIP code 11417. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
134,2017-06-26 09:00:00,Utility,Power Outage - Hollis (QN),"Notification issued 6/26/17 at 9:12 AM. Con Edison is responding to a power outage in the Hollis section of Queens, including parts of ZIP code 11429. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
135,2017-06-21 20:00:00,Utility,Power Outage - Williamsbridge (BX),"Notification issued 6/21/17 at 8:00 PM. Con Edison is responding to a power outage in the Williamsbridge section of the Bronx, including ZIP code(s) 10466 and 10469. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1. 

To view this message in American Sign Language (ASL), ???????, ??????, ??, Français, Kreyòl Ayisyen, Italiano, ???, Polski, P??????, Español, ???? or ?????? : http://on.nyc.gov/22lyehC.",1
136,2017-06-14 13:00:00,Utility,Power Outage - Willowbrook (SI),"Notification issued 6/14/17 at 1:42 PM. Con Edison is responding to a power outage in the Willowbrook section of Staten Island, including parts of ZIP code 10314. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
137,2017-06-13 16:00:00,Utility,Power Outage - Bayside (QN),"Notification issued 6/13/17 at 4:00 PM. Con Edison is responding to a power outage in the Bayside section of Queens, including ZIP code(s) 11358, 11359, 11360 and 11361. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
138,2017-06-12 23:00:00,Utility,Power Outage - Long Island City (QN),"Notification issued 6/12/17 at 11:54 PM. Con Edison is responding to a power outage in the Long Island City section of Queens including ZIP code 11103. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing impairment, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1
